1 -2.226955060314904
2 -1.911915507403955
3 -1.872292165155077
4 -1.901914220941495
5 -1.969441285256735
6 -2.067253545812519
7 -2.174971836501369
8 -2.304815285493883
9 -2.439909206294998
10 -2.585650786348335
11 -2.732029282632701
12 -2.871357848677989
13 -3.010924145152024
14 -3.122981521624626
15 -3.231075658959776
16 -3.32274436796773
17 -3.388756915228964
18 -3.44430197587034
19 -3.481931325051245
20 -3.509731002887135
21 -3.525136364759701
22 -3.526407264722907
23 -3.530296639726406
24 -3.530480921540367
25 -3.53799639413101
26 -3.547564336594816
27 -3.570607125167023
28 -3.596367714168844
29 -3.639250111391292
30 -3.683794807764976
31 -3.740445232930012
32 -3.80062345263336
33 -3.866854033765577
34 -3.936148278124743
35 -4.005415543537266
36 -4.074980370097508
37 -4.142542175621417
38 -4.207998575897121
39 -4.270884957209852
40 -4.328894715311075
41 -4.382885248514701
42 -4.432439252016621
43 -4.4761306664414
44 -4.516502678863414
45 -4.551841149171024
46 -4.581886383121439
47 -4.608326925405441
48 -4.630890668115763
49 -4.649298693575213
50 -4.665306186059754
51 -4.677821061739714
52 -4.687556134728867
53 -4.695500197602255
54 -4.701903522753913
55 -4.7055117734575
56 -4.709373560523916
57 -4.710982222095884
58 -4.712811119086039
59 -4.713284550257451
60 -4.714101169629997
61 -4.714016310870242
62 -4.714209243090177
63 -4.71400843798054
64 -4.714091105611734
65 -4.713526486326913
66 -4.713688762683319
